"variable","n","mean","sd","median","q1","q3","min","max"
"age",66,40.9545454545455,8.52044025258684,39.5,34,46,30,67
"cigarettes",66,13.8484848484848,3.77539574794657,12,12,15,10,25
"duration_min",66,122.465177525253,21.5481777783709,117.8652,114.614825,132.381745833333,53.2008,185.905183333333
"M",66,61.419696969697,17.5195207143519,64.55,51.55,72.175,15,95.1
"L",66,60.8075757575758,16.8773340093571,62.6,51.775,69.375,16.7,95.6
"difference",66,-0.612121212121212,5.24358993736499,0,-2.3,1.85,-20.2,16.2
"slope",66,0.0525109794377751,0.285833171956818,0.0433302444322854,-0.104889917342778,0.200069876163136,-0.57470646709305,0.804613126014828
