"analysis","n","mean","sd","lower","upper","t","df","p","dz"
"primary_complete_identified",66,-0.612121212121212,5.24358993736499,-1.90115650693205,0.676914082689626,-0.948376264156159,65,0.346450668067488,-0.116737048364391
"include_unidentified_older_session",67,-0.717910447761194,5.27526892530448,-2.00464964278533,0.568828747262942,-1.11394326180236,66,0.269343836887251,-0.136089829338844
"available_pairs_identified",67,-0.60630182421194,5.20393216024886,-1.87564061502104,0.663036966597163,-0.953662377713855,66,0.343734382273091,-0.116508402788815
"app_age_limit_65",65,-0.621538461538461,5.28383419934368,-1.93080846977586,0.687731546698934,-0.948364972925618,64,0.346511047622602,-0.117630197710531
"all_report_intervals_at_least_300s",61,-0.777049180327869,5.25028232392072,-2.12170892019456,0.567610559538825,-1.15592795480133,60,0.252292802833753,-0.148001408759976
"person_specific_linear_block_adjustment",66,-0.923645546372818,5.13889977941882,-2.18694478816961,0.339653695423974,-1.46018257080164,65,0.149056638799876,-0.179736049742009
"person_specific_linear_time_adjustment",66,-0.910730561677474,5.12468337465742,-2.17053497498431,0.349073851629359,-1.44375945174136,65,0.153609379548542,-0.177714503530349
"last_minus_first_descriptive",66,6.10606060606061,37.6951858945813,-3.16057268200855,15.3726938941298,1.31597363661767,65,0.192805209245106,0.161985157020763
